path,language,tier,bytes,sha256
revision/pathology/scripts/run_pathology_analysis.py,Python,revision,9996,541a172819f4ec27d6936b6cd871c781efdb8bedf9d528fc8565c62475493072
revision/pathology_holdout/scripts/01_audit_and_freeze_split.R,R,revision,11996,f9273c62a0ed5f5dc5e5df55834a160dbe12c47da017f9541adbec7e1fcacd38
revision/pathology_holdout/scripts/02_fit_evaluate_strict_holdout.R,R,revision,30920,8623f86dffa7a2bada28b8846bac4931a8389de4a10bb65194b085379d6372bf
revision/pathology_holdout/scripts/03_plot_diagnostics.py,Python,revision,7313,7384395f446a90184fe6a0dc5285f6e4f690f5a307009574572a67630d99c20b
revision/protein_support/scripts/audit_protein_outputs.py,Python,revision,2776,2f226c64c62c967a4241fc76f3e573f186674edfb18046585b05c7df5b197400
revision/protein_support/scripts/export_protein.R,R,revision,1496,9041cf2cec67f942a7aea0bae080382e99c15c7a690f11df250fc03022dd81d3
revision/protein_support/scripts/plot_assemble_nqo1.py,Python,revision,1468,99d98db7284040e8af64bd682b175e6eae3f90d0835ed465f25add9d604eda0e
revision/protein_support/scripts/plot_nqo1_panels.py,Python,revision,4864,af91e9b660ab981e4e8c986f6124514d71c4f13f9159c241aaa0a4e6456f6b4c
revision/protein_support/scripts/protein_statistics.R,R,revision,4620,bbb7743e49c261b9434d2b7f598ac7f6435ff4545eb8cb5a3a9d050b50f3c45a
revision/protein_support/scripts/run_protein_support.py,Python,revision,7867,401f96a1d8b653ea32e5fd2d70eee680768375f32cf983d51444b3a130a8a8f4
revision/scripts/build_summary_tables.py,Python,revision,5309,d056acc3ca95ad6dfda78e0b1788179ec4c8bae8b3537b08b279159f0240c553
revision/single_cell/scripts/00_probe_objects.R,R,revision,2346,3d1b7f3ef1fb7c0173f55a69422bc6e34c074e991891a82232c66b126bca5be0
revision/single_cell/scripts/01_build_validation_atlas.py,Python,revision,4756,7f152b61fb6d0566d282c3065115266dd08202dd626bedf789681de6ddef8d98
revision/single_cell/scripts/02_validate_frozen_programs.R,R,revision,5263,c46cfb82bc302b234aee11cef38f0536226cda7af5c6e0db248b15f58f88df92
revision/single_cell/scripts/03_summarize_validation.py,Python,revision,6436,40f5bddfaf5d34224148412e05ebb39aaa7a1412992d2dfc5a308bb19b4d83e5
revision/single_cell/scripts/04_plot_scRNA_figures.py,Python,revision,8166,3e1118863db2f42d284e09d2e25209fecdbcf419338b0c4552a863bbb4a7e542
revision/single_cell/scripts/05_validation_de_novo_NMF.R,R,revision,2024,8e916a15bb5b48076ffbf9d25f828fd6b640327bd10222621c9c04f4cbf3f99c
revision/single_cell/scripts/06_recompute_NMF_overlap.R,R,revision,4727,e87a30bde08520d27e119bfc14f6b897ecad405f87cd6207f5c6cb19e3edfa6b
revision/single_cell/scripts/07_plot_discovery_definition.py,Python,revision,4896,43ee72f5544b3e3b8071e9676c0eb9d0540f56f7b61965426c82a87bdb9546f6
revision/single_cell_review/scripts/01_run_validation_nmf_enrichment.R,R,revision,6384,337283dc4a6632b15ae83c1735e84ee9a7e05af29420facabf87d38281faf2b7
revision/single_cell_review/scripts/02_prepare_validation_source_data.py,Python,revision,10730,8896bb8a353756ce640a7999e32cf4eda3d25ac96714548ea5840ae52e2cf377
revision/single_cell_review/scripts/03_plot_validation_suppfig.py,Python,revision,9526,9017ae1406c81fdd474063ed98e3a93d2db04c4e8e1f2821bfcdab20d3e1b5e6
revision/single_cell_review/scripts/04_write_validation_summary.py,Python,revision,7698,9ec6db5d1415469eb31361a5f88f60dbcf63d99549832033d8c65e6583cd7ed4
revision/single_cell_review/scripts/05_plot_panel_B_review_v2.py,Python,revision,3463,efde12cb095c32553d9a7969dcde0cf361757235e48d24b18a68de184ab85044
revision/single_cell_review/scripts/06_export_genenmf_input.py,Python,revision,4465,94da96226b98c7d15579e37373eaf1b8f9a15f601cdddbeba0474e094450e5a1
revision/single_cell_review/scripts/07_refit_genenmf_and_select_nmp.R,R,revision,19786,2876d39e8a7fe3b5d8fbf2cc15ab75c655580196506669fdd20352163250c625
revision/single_cell_review/scripts/08_plot_panel_C_genenmf_heatmap.py,Python,revision,6185,91a21d6b701a3b518f3b1da65c716ef73e50068998c8d6e2f700464094619579
revision/single_cell_review/scripts/09_score_mp_gsva_and_enrich_selected.R,R,revision,20292,d43f92fea493278358efe81984f1eeb97c968659f82acb9011e468db0b31d1f2
revision/single_cell_review/scripts/10_plot_panel_D_gsva_enrichment.py,Python,revision,8526,5c23e082494944eb1af451f06b7be41f2f045a72ff4c909d332d97df13f2bc32
revision/single_cell_review/scripts/11_compute_plot_panel_E_cross_cohort_similarity.py,Python,revision,19184,122a5b02758cf8d1b258fdd274f7a61234c8509a6a781468a4f4d5230744df4b
revision/single_cell_review/scripts/12_plot_panel_A_compact.py,Python,revision,3917,07da9d35eba038592099a0e66ce68106e8a74a944c7bd01f1998f7317dcf9a91
revision/spatial_association/scripts/01_build_source_manifest.py,Python,revision,1735,c5f35a05c5793f23b1fd7e902745e81c52e65886726b387c12e4d6fdf8420918
revision/spatial_association/scripts/02_export_descriptive_spatial.py,Python,revision,6219,01ba4f62bf873a184cd083031884852a0ea9d52c920225e65d29ce9d88bfccf9
revision/spatial_association/scripts/plot_assemble_fig6.py,Python,revision,1564,b7550bac8377434f1e36b924cc5a8fda8e635ce4e2b25b9a3e8aa2719fefcc9c
revision/spatial_association/scripts/plot_fig6_panels.py,Python,revision,4892,03a80ffee450fba0419b8d20da793679ebddc214dbefa25e870f08c2623b1dbf
revision/spatial_association/upstream_scripts/01_export_inputs.R,R,revision,7492,bf5b0fd372097d1cc744f8ee9fa6f9f5094e88fdd2c7d97e3bbaa7b5d39fa7e3
revision/spatial_association/upstream_scripts/03_run_cell2location_spatial.py,Python,revision,6700,e04e51d03e0e306e0347ee49cf1865757a9fe5d6fbab2892ee2d4522398bbfa9
revision/spatial_association/upstream_scripts/04_colocalization_analysis.R,R,revision,6096,ed45b66b55478608aaa94fc1f1aeda98e31e022b65a40317dea90a8cb13595f7
revision/spatial_association/upstream_scripts/11_make_hcc2t_revised_fig1ab.py,Python,revision,7753,3a8b944ef6f381885fe43d15c3bb0c390edc5ebf641e5ffa6dee829c84fdbf68
scripts/01_scRNA_oxidative_stress/00重分.R,R,historical,2756,b2468fe7b857951c05a54c613f37304aa5040aaeb6dc98e5164f300a74b773fd
scripts/01_scRNA_oxidative_stress/01氧化应激分析.R,R,historical,5032,54494ecb71618bcba844a4141493ea9703d7e86878cb624853b6e11786ac0c90
scripts/01_scRNA_oxidative_stress/02提取上皮细胞细分.R,R,historical,1820,bb89166e048aabf7c072b2816646568d4c193e1569b6e20c89cb748699867861
scripts/01_scRNA_oxidative_stress/03fastcnv.R,R,historical,7603,3717571528f30f76bc89c8118d4747888c51f3dc92482fa0b3d05e2e6f4a4aff
scripts/01_scRNA_oxidative_stress/04TC分析.R,R,historical,3497,9c3f035d62ca6beb8704389ccf2fe1ae34faa97382fa47aef8d869f078818e7a
scripts/01_scRNA_oxidative_stress/04氧化应激.R,R,historical,8636,ea250a0c8db9cd4f01225ade4b3c53a4dea7a62d2796eac8daf23ad67a21871f
scripts/01_scRNA_oxidative_stress/05osnmf.R,R,historical,4170,145d6485f23238cbc8b8c30eba1fd6c2d573384e8c7435819440df2a87ae8785
scripts/01_scRNA_oxidative_stress/06差异分析和生物学功能.R,R,historical,10693,cb2722bbef82cd35671ccb8b774c9d71e6c601a9f04a2e034796a5fe9fd4276c
scripts/01_scRNA_oxidative_stress/scissor.R,R,historical,1331,87e601dcdfd107ab0b5c53eb6799462418f35796ab272293b96930acb4eab2fc
scripts/01_scRNA_oxidative_stress/数据整合.R,R,historical,1523,e90001f11acf183b397ee4618b318d39dce64bb57078fcac00e5c5613e4107cd
scripts/02_cell_subtyping/07_NKT_subdivision.R,R,historical,12041,3d8f686f1a355996a3ac9c52fd063cf4c29942c8b408e4fbfcd83c7736106969
scripts/02_cell_subtyping/08_Mac_subdivision.R,R,historical,5115,0e09f9bfe0f3e1531e63e423dcafc765d99fbd41cad354bc9ce0cae8d0428772
scripts/02_cell_subtyping/09_B_subdivision.R,R,historical,4425,460591aa4c94da44f31221e4e478ba3b712db3abf4f72eee64f401b8570bddac
scripts/02_cell_subtyping/10_DC_subdivision.R,R,historical,4298,c733c1ee373c800e7f71950d477d8f2c3738eca4fbb5b7c4e9a017f6a1a316e6
scripts/02_cell_subtyping/11_CAF_subdivision.R,R,historical,4639,adbacf1d10e031907a69b61a103f274db69022a1ad2368ef5d5c6fd23aa66cde
scripts/02_cell_subtyping/12_Endo_subdivision.R,R,historical,4598,b724fe27a7053a9db9d9fa6b870290f9bc4c22810c81eae61b1e78d43485ec95
scripts/02_cell_subtyping/13_Neu_subdivision.R,R,historical,4601,8b28fce5412dc2fa45ca96483ba6519b1b932a9dbb07ca636ffd1f4050ba27ae
scripts/02_cell_subtyping/16_TrmCD8_CytoCD4_subdivision.R,R,historical,14342,2021fdb4a8d61ade81b28ceb09c2c24c9202d38cb3a95e3e8328aabbcced71a2
scripts/02_cell_subtyping/17_TrmCD8_CytoCD4_refined_subdivision.R,R,historical,19238,c8d021169ebfa27ad4f0fafb956e63a18fad2b9f8b56adb05b1676d823ec4f13
scripts/03_annotation_integration/14_integrate_annotations.R,R,historical,7352,43609716d0cc7c003292da52fc9b007754303ac578fd85148814b2d708475f2b
scripts/03_annotation_integration/15_filter_small_subtypes.R,R,historical,3355,bbc55b8bc9197ad7ac6207442c7d88787d0f32d3fc53754dd38d8dea771bd53f
scripts/03_annotation_integration/18_check_all_cell_objects.R,R,historical,7143,2e48cbebf2aed360ad598204b6cc7f4f9ad65b22a78bb730aa67e2831137cf01
scripts/03_annotation_integration/19_integrate_all_cells.R,R,historical,10592,c48c7c9f0fba2b86a0c661bec4be15bbc54095724c18c48f839696980ce289c4
scripts/03_annotation_integration/20_visualize_integrated_data.R,R,historical,12585,84d097c138c83d8de1f80adffc814fdafe8359b94c3df3498f956a2c0ffba640
scripts/04_spatial_transcriptomics/00ST样本OS分析.R,R,historical,1404,11eca97068be90df28fdd7f7f807974bb5eb552d480e3453a718be947114c12d
scripts/04_spatial_transcriptomics/RCTD_spatial_deconvolution.R,R,historical,17526,2d32c5c62e04431ed37c4e5129e5d6ef7401c71bbadeb5c72df8136a0b7972a1
scripts/05_bulk_deconvolution/TCGA-LIHC_deconv_major_celltype.R,R,historical,12122,f41c92c40edc443464ff6e77c28ce0f5ae743592a8881cc614458c17ecbf1d31
scripts/05_bulk_deconvolution/TCGA-LIHC_deconvolution.R,R,historical,8304,987cc04cc65df52f94ba9be0a32ebd2c96e23f3b6edcef5130b7ff4978811147
scripts/05_bulk_deconvolution/反卷积后的OS分析.R,R,historical,3584,7f7cc718ec338580d5dd94fe54f8bc518e0ba596feb08ef60bc517645e3b5500
scripts/06_prognostic_modeling/extract_risk_formula_v2.R,R,historical,5349,4a4aaea06c6141f7c9d3741013fb94245a96b8400e137318b1152d0914ceca07
scripts/06_prognostic_modeling/visualize_res_fixed.R,R,historical,17184,5dd054c3d2ce23f0b0a670dcf635e50dc2b17651095536b4dc147a732c77bf7f
scripts/06_prognostic_modeling/构建预后模型_no_GSE14520.R,R,historical,13060,2fb6d62dab6f6af1d1e858d781592df4176ed2dfaddb28cbb6fd59fd70cd63b1
scripts/06_prognostic_modeling/预后模型的临床特征分布.R,R,historical,6173,e91d1a7448cd7d62d0fb7a5045f29087bb85d1829aa505a413d6d210fcd1195f
scripts/07_wsi_pathology/病理构建模型3.R,R,historical,4428,3af77a6562ed2afd7eded64429f09af51d346655617974af899b77373a83c295
scripts/07_wsi_pathology/病理构建预后模型2.R,R,historical,5894,7be6686ee972a5bdc46a84faadeb352e3b2d87fdfbc07c73679fd515bf346c28
scripts/07_wsi_pathology/病理特征构建模型.R,R,historical,9144,d865b32a9146cfa309aefde1d3c9150bc96b491b88487ee45eaf96d655315e92
scripts/08_functional_analysis/08肿瘤功能分析.R,R,historical,6730,57570816325822c9738417e402f98fdc21da14144a5befce885b2cf97c93cbdf
scripts/08_functional_analysis/mac细胞通讯分析.R,R,historical,5184,99367060e691443e71ba800e3920db27fa2dc222baacb529fdce5c32d2699ac0
scripts/08_functional_analysis/细胞通讯分析.R,R,historical,6870,f0571db2552245b3f26c7888da2460f9fd9f33ef1cc0245b8f1ffcef94cac91d
scripts/08_functional_analysis/虚拟敲除.R,R,historical,2171,06c482bdd73e402668f3c63d19397731bfbcb672dab90a9dfec5b35da8e87e33
scripts/08_functional_analysis/虚拟敲除可视化.R,R,historical,4168,4ca696a374d6d0da627269930e0f95d64630c9ba3be9f3bc8f6b90f547eff139
tools/audit_repository.py,Python,infrastructure,4643,8fb9b087afd756e896b28f9526859401c9f9effddd2d06edb8a2ef55fe7d8720
workflow/run_pipeline.py,Python,infrastructure,12290,5127b6ec7ba3c1d3c91c35437a1687c10d91c8628a5bf2533b786de26a41a0e4
